Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"09/09/2022 09:10",4071.25,4071.75,4067,4068,-3.25,-0.08%,5388,N/A
"09/09/2022 09:09",4071.25,4071.5,4069.75,4071.25,0,0.00%,2938,N/A
"09/09/2022 09:08",4070.25,4071.5,4070.25,4071.25,1,+0.02%,2300,N/A
"09/09/2022 09:07",4068.75,4071.25,4068.25,4070.25,1.5,+0.04%,3576,N/A
"09/09/2022 09:06",4068.25,4070.5,4068,4068.75,0.25,+0.01%,4548,N/A
"09/09/2022 09:05",4069,4069.25,4066.75,4068.5,-0.75,-0.02%,4849,N/A
"09/09/2022 09:04",4069,4069.25,4066.25,4069.25,0.5,+0.01%,6434,N/A
"09/09/2022 09:03",4068.75,4070.5,4067,4068.75,0,0.00%,9638,N/A
"09/09/2022 09:02",4067.25,4069,4065,4068.75,1.75,+0.04%,8112,N/A
"09/09/2022 09:01",4063.5,4068.25,4062.5,4067,3.5,+0.09%,7716,N/A
"09/09/2022 09:00",4062,4063.5,4060.25,4063.5,1.75,+0.04%,5536,N/A
"09/09/2022 08:59",4058.75,4062,4058.25,4061.75,3.25,+0.08%,4450,N/A
"09/09/2022 08:58",4056.5,4059.25,4055.75,4058.5,2,+0.05%,4792,N/A
"09/09/2022 08:57",4053.25,4058,4052.75,4056.5,3.25,+0.08%,6149,N/A
"09/09/2022 08:56",4050.75,4053.75,4049.25,4053.25,2.5,+0.06%,2473,N/A
"09/09/2022 08:55",4053.5,4054.5,4048.5,4050.75,-2.75,-0.07%,3987,N/A
"09/09/2022 08:54",4053.5,4055.25,4052.25,4053.5,0.25,+0.01%,3450,N/A
"09/09/2022 08:53",4054,4055.25,4049.5,4053.25,-0.75,-0.02%,3341,N/A
"09/09/2022 08:52",4054.5,4055.25,4051.75,4054,-0.5,-0.01%,2772,N/A
"09/09/2022 08:51",4053,4055.25,4051.5,4054.5,1.25,+0.03%,3000,N/A
"09/09/2022 08:50",4053,4053.75,4051.5,4053.25,0.5,+0.01%,3509,N/A
"09/09/2022 08:49",4054.75,4055.5,4051.25,4052.75,-2,-0.05%,4237,N/A
"09/09/2022 08:48",4055,4057,4053,4054.75,0,0.00%,5161,N/A
"09/09/2022 08:47",4051.25,4057.25,4050.75,4054.75,3.5,+0.09%,4565,N/A
"09/09/2022 08:46",4049.25,4052.5,4049.25,4051.25,2.25,+0.06%,4539,N/A
"09/09/2022 08:45",4049,4050,4043.75,4049,-0.25,-0.01%,7331,N/A
"09/09/2022 08:44",4052.75,4056,4049,4049.25,-3.5,-0.09%,5145,N/A
"09/09/2022 08:43",4051,4054.5,4051,4052.75,1.75,+0.04%,3452,N/A
"09/09/2022 08:42",4051.75,4054.25,4050.25,4051,-0.75,-0.02%,3640,N/A
"09/09/2022 08:41",4054,4054,4049.75,4051.75,-2.25,-0.06%,4419,N/A
"09/09/2022 08:40",4053.5,4056,4052.5,4054,0.75,+0.02%,3104,N/A
"09/09/2022 08:39",4055,4055.75,4050.75,4053.25,-1.75,-0.04%,3914,N/A
"09/09/2022 08:38",4056.25,4057.25,4053.5,4055,-1,-0.02%,3625,N/A
"09/09/2022 08:37",4053,4057,4052.75,4056,2.75,+0.07%,3857,N/A
"09/09/2022 08:36",4053.5,4054.25,4050,4053.25,-0.25,-0.01%,5834,N/A
"09/09/2022 08:35",4055.25,4058,4053.5,4053.5,-2,-0.05%,5886,N/A
"09/09/2022 08:34",4052,4056,4051.75,4055.5,3.25,+0.08%,4377,N/A
"09/09/2022 08:33",4052.75,4054,4050.75,4052.25,-0.75,-0.02%,4104,N/A
"09/09/2022 08:32",4050.25,4054,4050,4053,2.5,+0.06%,5675,N/A
"09/09/2022 08:31",4049.25,4052,4048.75,4050.5,1.25,+0.03%,6535,N/A
"09/09/2022 08:30",4046.25,4050.5,4046,4049.25,3,+0.07%,8344,N/A
"09/09/2022 08:29",4045,4047,4045,4046.25,1.25,+0.03%,1205,N/A
"09/09/2022 08:28",4046.25,4046.5,4043.75,4045,-1.25,-0.03%,1249,N/A
"09/09/2022 08:27",4047.75,4048,4045.75,4046.25,-1.5,-0.04%,705,N/A
"09/09/2022 08:26",4046.75,4048.5,4046.25,4047.75,1,+0.02%,573,N/A
"09/09/2022 08:25",4049.5,4050,4045,4046.75,-2.75,-0.07%,1937,N/A
"09/09/2022 08:24",4052.5,4052.75,4049.25,4049.5,-3,-0.07%,577,N/A
"09/09/2022 08:23",4052.5,4053,4052.25,4052.5,0.25,+0.01%,280,N/A
"09/09/2022 08:22",4053.75,4053.75,4052,4052.25,-1.5,-0.04%,497,N/A
"09/09/2022 08:21",4054,4054.5,4053,4053.75,-0.25,-0.01%,327,N/A
"09/09/2022 08:20",4053,4054,4052.5,4054,1,+0.02%,330,N/A
"09/09/2022 08:19",4053,4053.5,4053,4053,0.25,+0.01%,280,N/A
"09/09/2022 08:18",4053.75,4055,4052.75,4052.75,-1,-0.02%,573,N/A
"09/09/2022 08:17",4055,4055,4053.5,4053.75,-1,-0.02%,298,N/A
"09/09/2022 08:16",4053.75,4055,4053.5,4054.75,1,+0.02%,335,N/A
"09/09/2022 08:15",4052.5,4054,4052.25,4053.75,1.25,+0.03%,416,N/A
"09/09/2022 08:14",4052.25,4053,4052,4052.5,0.25,+0.01%,348,N/A
"09/09/2022 08:13",4051.75,4052.5,4051.25,4052.25,0.25,+0.01%,203,N/A
"09/09/2022 08:12",4052,4052.75,4051.5,4052,-0.25,-0.01%,448,N/A
"09/09/2022 08:11",4050.75,4052.5,4050.5,4052.25,1.5,+0.04%,330,N/A
"09/09/2022 08:10",4053.5,4053.5,4050.5,4050.75,-2.75,-0.07%,1129,N/A
"09/09/2022 08:09",4052.75,4053.5,4052.75,4053.5,0.75,+0.02%,198,N/A
"09/09/2022 08:08",4051.75,4053.25,4051.75,4052.75,1,+0.02%,369,N/A
"09/09/2022 08:07",4052.5,4052.75,4051.25,4051.75,-0.75,-0.02%,534,N/A
"09/09/2022 08:06",4052.75,4053,4052.25,4052.5,-0.5,-0.01%,388,N/A
"09/09/2022 08:05",4053,4053.75,4052.75,4053,0,0.00%,360,N/A
"09/09/2022 08:04",4053,4053.5,4052.75,4053,0,0.00%,340,N/A
"09/09/2022 08:03",4052.25,4053,4052.25,4053,0.5,+0.01%,403,N/A
"09/09/2022 08:02",4053.5,4054,4052.25,4052.5,-1,-0.02%,644,N/A
"09/09/2022 08:01",4053.5,4054.25,4053,4053.5,0.25,+0.01%,542,N/A
"09/09/2022 08:00",4053,4053.75,4052.75,4053.25,0.5,+0.01%,738,N/A
"09/09/2022 07:59",4054.5,4054.75,4052.75,4052.75,-1.75,-0.04%,704,N/A
"09/09/2022 07:58",4055.75,4055.75,4054.5,4054.5,-1.25,-0.03%,747,N/A
"09/09/2022 07:57",4056.5,4056.5,4055.25,4055.75,-0.75,-0.02%,407,N/A
"09/09/2022 07:56",4057.25,4057.25,4056.5,4056.5,-0.5,-0.01%,863,N/A
"09/09/2022 07:55",4055,4057.25,4055,4057,2.25,+0.06%,616,N/A
"09/09/2022 07:54",4056.75,4056.75,4054.75,4054.75,-2,-0.05%,504,N/A
"09/09/2022 07:53",4057.75,4057.75,4056.5,4056.75,-1,-0.02%,525,N/A
"09/09/2022 07:52",4058,4058.75,4057.5,4057.75,-0.25,-0.01%,725,N/A
"09/09/2022 07:51",4058.75,4059,4058,4058,-1,-0.02%,890,N/A
"09/09/2022 07:50",4061.25,4061.5,4058.75,4059,-2.25,-0.06%,743,N/A
"09/09/2022 07:49",4060.5,4061.75,4060,4061.25,1,+0.02%,751,N/A
"09/09/2022 07:48",4060.5,4061,4059.75,4060.25,-0.25,-0.01%,415,N/A
"09/09/2022 07:47",4059.5,4060.75,4059.5,4060.5,0.75,+0.02%,303,N/A
"09/09/2022 07:46",4061,4061.25,4059.25,4059.75,-1,-0.02%,653,N/A
"09/09/2022 07:45",4061.75,4062,4060.75,4060.75,-1,-0.02%,578,N/A
"09/09/2022 07:44",4061,4061.75,4060.5,4061.75,0.75,+0.02%,637,N/A
"09/09/2022 07:43",4060.5,4061.25,4060,4061,0.5,+0.01%,569,N/A
"09/09/2022 07:42",4059.5,4060.5,4059,4060.5,1,+0.02%,564,N/A
"09/09/2022 07:41",4059,4060.5,4059,4059.5,0.5,+0.01%,913,N/A
"09/09/2022 07:40",4057.75,4059.25,4057.75,4059,1.25,+0.03%,725,N/A
"09/09/2022 07:39",4057.25,4058,4057.25,4057.75,0.5,+0.01%,258,N/A
"09/09/2022 07:38",4057.25,4058,4057,4057.25,0,0.00%,445,N/A
"09/09/2022 07:37",4056.75,4057.5,4056.5,4057.25,0.5,+0.01%,439,N/A
"09/09/2022 07:36",4055.75,4057,4055.75,4056.75,0.75,+0.02%,312,N/A
"09/09/2022 07:35",4056.75,4057,4055.75,4056,-0.5,-0.01%,231,N/A
"09/09/2022 07:34",4055.75,4057,4055.75,4056.5,0.75,+0.02%,365,N/A
